ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_payment_next_month
1,141958,2,4,2,54,0,0,1,-2,2,6,0,77454,122744,128322,26029,183720,176572,83310,96652,100102,74069,74520,113132,1
2,691155,2,4,2,41,-1,5,0,2,0,2,0,90600,89431,132663,144097,30087,16309,198350,99304,59189,136321,194812,187604,0
3,151932,2,2,3,50,-2,5,5,1,0,0,1,122732,43001,11303,123395,181002,55230,149381,156498,152747,150273,64309,16052,0
4,385838,1,1,3,53,6,0,3,-1,0,4,0,159007,67364,161633,145360,164053,111822,131691,17772,71031,125541,29984,100689,0
5,279178,2,3,3,48,2,1,-2,3,0,3,0,37641,124988,71719,89186,69298,161099,181180,103754,42668,189648,118947,178148,0
6,664167,1,3,3,53,1,0,-2,4,4,0,0,29711,45028,99616,137612,46167,112340,34707,3712,144745,9686,5901,184492,0
7,130268,2,1,1,25,0,0,0,-1,2,0,0,70342,168645,124165,97768,174480,59321,151409,132439,88204,53363,162624,131743,1
8,752180,2,3,3,39,0,0,2,0,6,0,5,106896,131878,86231,199950,39499,132028,81537,115142,196501,97543,31055,163,0
9,74886,1,3,2,24,0,1,6,2,0,-1,2,143254,124343,7314,41846,125816,74131,197576,91736,154741,131733,168757,41424,1
10,157337,2,1,1,55,0,2,0,1,1,0,0,87833,187710,19623,75932,183341,178980,178686,51924,165140,175915,145788,184816,0
11,541430,1,4,2,37,0,2,0,0,5,2,3,56276,128301,198747,148554,169631,25963,91155,3726,140507,95673,114099,141706,0
12,974698,2,1,2,64,1,2,0,0,0,-2,0,19541,126295,196154,23411,96347,101757,281,89152,183321,192035,11138,135870,0
13,107498,2,4,2,48,1,-1,6,0,-1,0,3,94457,160829,105228,182047,48787,170515,158492,27723,37384,42828,166370,22420,0
14,919159,1,3,3,50,0,0,2,0,1,0,2,44813,34636,164202,191617,35488,99259,170102,126969,81929,48604,182184,120575,0
15,932756,2,3,3,49,5,-1,2,1,0,0,0,168270,179352,182828,78797,74441,39063,132130,100494,127959,10526,23429,29300,1
16,195203,1,3,1,26,1,0,0,0,2,4,-2,139892,24262,97624,52307,22431,114225,76260,140180,76153,68910,50200,89881,0
17,211335,2,2,1,55,0,0,0,0,0,0,0,24070,80435,157364,134165,61681,116400,159476,35643,75388,25592,179316,10749,0
18,298167,1,4,3,61,1,3,0,1,2,0,0,142194,193283,111785,22042,194555,80818,160928,162396,31401,28982,101268,104131,0
19,61090,1,2,2,57,0,0,-1,-2,0,1,1,80559,185914,86206,52930,122720,4703,140272,103896,119503,207,17347,156193,0
20,349365,2,2,1,44,0,0,3,0,0,0,0,41786,128583,69274,175485,49153,196200,64178,139999,127834,88733,147992,128563,0
21,84820,2,1,3,49,0,0,2,1,0,0,0,137809,188051,133541,97883,6368,72099,33997,93680,34084,124982,31822,37487,0
22,807201,1,2,3,51,2,2,6,3,2,0,2,36062,169269,53947,33756,158496,156921,156683,96546,110641,68619,177731,164433,0
23,341879,2,1,3,55,-2,1,6,0,1,0,6,185309,41844,153606,53268,112360,162932,119273,153515,105111,160400,40108,21223,0
24,738315,2,1,2,53,0,0,0,0,0,0,0,51571,64754,194692,170286,176076,31585,172307,79973,186898,46479,128955,72930,0
25,347069,2,2,3,41,-2,-1,2,0,0,0,0,25510,165229,48874,159674,112755,153087,166129,63449,167523,151175,7967,145128,0
26,796997,1,4,3,52,-2,1,5,0,3,0,0,19426,77129,49708,184403,56985,43585,132311,109834,138299,170963,110719,28380,0
27,219041,1,4,3,43,3,-1,2,0,0,4,-2,37265,40042,74553,48901,50069,26958,196733,191305,162982,141826,11871,26035,0
28,811743,1,4,3,53,1,2,0,0,2,0,4,148922,61665,68344,99986,52326,26017,126945,25537,36041,81437,164685,30620,1
29,123355,1,4,1,23,0,1,0,0,0,0,0,66150,116953,49138,194488,108737,124677,45272,77576,88920,98540,28179,150949,0
30,255796,1,4,1,38,-1,-1,0,0,0,1,0,87312,158448,185374,163268,154470,176422,89393,107522,65681,72982,183260,186388,0
31,234176,1,2,3,45,0,-1,5,-2,0,-2,0,89613,186626,47638,128386,50861,143273,61212,22612,81571,102747,55099,195113,0
32,204779,1,2,2,62,0,6,1,0,0,1,0,74910,145271,78249,5626,75897,29426,146470,6471,196553,186994,35262,117360,1
33,367449,1,3,1,51,0,0,0,0,1,0,1,52375,118533,105865,138496,127118,17778,120030,166703,199648,48231,78213,53352,0
34,441909,1,4,3,23,0,0,1,0,0,6,2,121826,182020,2719,12857,68577,176313,56503,31348,127556,29301,117407,161983,0
35,278795,2,2,1,60,0,2,1,0,0,0,0,35435,73781,153962,151054,196713,42229,137710,195804,195246,193783,149340,163856,1
36,506232,1,3,1,44,1,5,0,3,3,0,-2,96443,66262,167581,133052,9078,86652,6570,1177,26160,172395,86269,3191,0
37,937040,2,4,2,52,1,6,0,0,0,-1,0,188204,46600,42534,179362,156075,128267,68785,135832,17633,18752,60545,164232,0
38,520186,2,1,3,42,-2,2,1,1,0,6,4,134055,76898,92241,26431,62768,179436,9110,32779,17014,98452,39922,90536,0
39,176730,2,3,3,43,0,0,0,2,4,0,3,151734,193555,149859,84976,51047,126503,79141,21636,80532,144467,42913,104576,0
